gene_id	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
ENSG00000018408	9.01	1150.49	4.09	1436.81	0	0	22.87	2573.19	2
ENSG00000018510	137	11	114	392	35	0	60	0	0
ENSG00000018607	0	0	0	0	0	0	0	0	0
ENSG00000018610	111.98	0	21.76	209.17	4.2	0	0.18	153.33	50.51
ENSG00000018625	0.94	0	1	1	0	0	0	0	0
ENSG00000018699	118	10	1	51	34	5	24	0	1
ENSG00000018869	0	0	25	0	0	0	0	0	0
ENSG00000019102	6	0	0	4	0	0	447	0	40
ENSG00000019144	36.69	1047.5	347.75	4491.61	17.68	224	340	1583.82	35.84
ENSG00000019169	2032	1	112	0	0	0	0	1	0
ENSG00000019186	0	0	7	0	0	0	0	0	0
ENSG00000019485	0	0	19	187	0	0	33	0	0
ENSG00000019505	0	0	0.99	3	0	1	1329	0	0
ENSG00000019549	27	2684	0	655	0	3	0	69	0
ENSG00000019582	94407	679	50032	89	2596	3	4944	2259	4197
ENSG00000019991	189	0	1	272	0	0	8	0	0
ENSG00000019995	197.99	0	200.92	7.03	0	0	0	563.11	48.17
ENSG00000020129	147	0	43	316	5720	0	0	0	1643
ENSG00000020181	691	156	0	1995	0	0	0	33	0
ENSG00000020219	0	0	0	18	0	0	0	0	0
ENSG00000020256	21	0	0	174	773	0	13	0	0
ENSG00000020426	0	0	24	43	0	0	0	0	0
ENSG00000020577	24	1	97	360	0	1	0	1	0
ENSG00000020633	269	0	1321	8	4228	0	4	1	1469
ENSG00000020922	20.06	70	11.97	13.78	0	0	3.06	0	3.1
ENSG00000021300	1	0	1	0	398	0	28	0	0
ENSG00000021355	736.08	0	472.56	41	1457.78	9676	872	6	67
ENSG00000021461	0	0	0	0	0	0	0	0	0
ENSG00000021488	0	0	0	0	0	0	0	0	0
ENSG00000021574	305.95	17	357.35	87.29	169.93	2639.12	1312.52	1.04	79.58
ENSG00000021645	0	0	7.01	227.02	0	0	6.69	0	0
ENSG00000021762	36	0	0	323	0	0	0	0	0
ENSG00000021776	225	1442	419	130	14	0	144	1	308
ENSG00000021826	5.08	0	23.05	62.49	29.45	0	57.43	0	0.97
ENSG00000021852	11	0	0	0	0	0	0	0	0
ENSG00000022267	261	1333	9	240	0	1	1	2760	0
ENSG00000022277	1062	1161	590	156	0	1	297	102	1
ENSG00000022355	0	0	0	0	0	0	0	0	0
ENSG00000022556	53	0	0	0	0	0	0	0	0
ENSG00000022567	73	0	199	11	0	0	3	2	0
ENSG00000022840	212.54	4	555.71	289.88	17.12	0	13	0	5.9
ENSG00000022976	1.45	0	9.94	22.01	0	0	1	1.76	0
ENSG00000023041	242	1	107	44	3558	1	383	0	33
ENSG00000023171	249	0	38	5	1254	0	0	0	1569
ENSG00000023191	358.02	487	870.35	297.09	0	1	0	950	0
ENSG00000023228	569.91	1143.01	272.6	294.79	8268.04	5.03	5	1	203.1
ENSG00000023287	194	3	45	137	232	2	346	3813	6
ENSG00000023318	335	11	137	60	0	37	55	0	22
ENSG00000023330	435	50	1438	437	3524	18	14	0	0
ENSG00000023445	721	193	742	36	11349	880	116	27	1492
ENSG00000023516	278	665	246	435	3	551	50	9	1
ENSG00000023572	31	0	3	0	0	0	53	0	740
ENSG00000023608	35.71	0	26	9	0	0	2	0	0
ENSG00000023697	267	138	25	10	0	0	27	0	0
ENSG00000023734	256	3	20	132	133	0	236	0	84
ENSG00000023839	0	1	0	0	0	0	0	0	0
ENSG00000023892	133	0	112	3	0	0	0	0	0
ENSG00000023902	540	0	426	176	0	0	98	0	1096
ENSG00000023909	30.02	0	0.3	105.7	0	4.19	76.9	50.07	0
ENSG00000024048	273	460	64	208	40	0	19	2175	2
ENSG00000024422	27	58	55	1503	0	2	0	1814	0
ENSG00000024526	0	0	1	0	0	0	0	0	0
ENSG00000024862	242	0	16	3	0	0	0	0	0
ENSG00000025039	105	1	32	0	0	0	39	1	0
ENSG00000025156	13	0	0	76	408	0	0	0	94
ENSG00000025293	898.11	5.34	161.36	167.85	1030	0	768.99	0.95	53
ENSG00000025423	0	0	0	16	0	0	0	0	0
ENSG00000025434	92	3364	88	188	0	0	0	0	0
ENSG00000025708	1427	4	789	338	0	2	5	25	0
ENSG00000025770	0	0	0	64	0	0	11	0	0
ENSG00000025772	41	95	31	43	105	2	60	0	2
ENSG00000025796	766	2556.47	291.95	558.33	2401	0	79	1240	26
ENSG00000025800	686.33	1257.25	338.47	111.88	0	0	175.81	7.67	5.01
ENSG00000026025	24840.71	20195.81	4822	5611.64	7780	7	1709	49	590
ENSG00000026036	0	0	16.56	53.53	0	0	0	0	0
ENSG00000026103	35	29	0	53	223	0	725	0	16
ENSG00000026297	729	1	384	22.19	0	0	122.08	0	0
ENSG00000026508	12831	2013	4978	1529	13936	5	1631	230	3011
ENSG00000026559	9.69	0	3.96	2.87	35.51	0	15.38	13.28	4.09
